tweets,location,category,latitude,longitude
"  Mark Zuckerberg being swarmed by cameras = perfect metaphor for online privacy
The Verge 
Im sorry tha","Ohio, USA",positive,40.2253569,-82.6881395
"  Facebook's CIA Friends

 


 ",I use old-speak?I comprehend new-speak?self actualized golem,positive,NA,NA
"Mark Zuckerberg being swarmed by cameras = perfect metaphor for online privacy
The Verge 
Im sorry that Im not sorry!

 







 ","San Diego, CA",positive,32.7174209,-117.1627714
"      
   ","California, USA",negative,36.7014631,-118.7559974
