Funny,Angry,Surprise
,decided,bash
,threw,bonfire
,ran,bounce
,ordered,brechtian
,pushed,bump
,demanded,celebration
,lashed,ceremony
,struck,chorus
,kicked,concert
,rushed,feast
,after,folksy
,aggro,game
,boil,goodbye
,dander,goofy
,freak,hest
,fumes,humane
,ranter,hunt
,riled,intellectualized
,ropable,jazz
,steam,lascivious
,abuse,merriest
,bristle,old
,chide,outing
,clashing,picnic
,disputing,powwow
,dust,prayer
,flare,selfsame
,glower,sentimental
,mutter,sitting
,rate,sweetest
,seethe,Tahitian
,spit,telling
,wrangle,thanksgiving
,Ab Irato,toast
,acrid,traditional
,animus,weirdest
